"subj_code","condition","desktop_conf","attent_conf","comparison","order","case_1","case_2","subj_explanation","A_check","age","tech_issues","recorded_at"
"GEWK7GyXnAwT",1,"1: I confirm","1: I will take it seriously","ic_cccf","ic left",31,80,"I think that the Eastern is more likely than the western. So I think the genetic mutation in eastern birds is a relevant factor.","correct",44,NA,2025-07-12 10:04:22
"TGAmQHuWs0sJ",1,"1: I confirm","1: I will take it seriously","ic_cccf","ic left",50,50,"For the Western one, .2x .3 = .5 and same for the Eastern.","correct",56,NA,2025-07-12 10:04:49
"SwoFGmaVHhBX",1,"1: I confirm","1: I will take it seriously","ic_cccf","ic left",24,100,"I added a few extra percentage points to the base rate of the Western population in order to account for the 20% of birds that have both the amino acid and the mating call. 

For the Eastern population, I thought if the birds could make the call then they have to have the amino acid. So whilst I've probably got the maths wrong, I thought the chances were high enough to make it 100% since the birds must have both the amino acid and the call.","correct",43,NA,2025-07-12 10:05:17
"zCSPfipru0HJ",1,"1: I confirm","1: I will take it seriously","ic_cccf","ic left",30,30,"both the eastern and the western birds have a 0.3 chance of finding a mating partner if they cn make the distinctive sound which is a 30% probability.","correct",34,NA,2025-07-12 10:06:29
"98Wv5kyjvMQt",1,"1: I confirm","1: I will take it seriously","ic_cccf","ic left",30,90,"Western had BOTH the hormone AND ability to produce the sound (plus the other random .2 possibility) while the Eastern has only the ability to sing.","correct",72,NA,2025-07-12 10:07:22
"n0cMKDj3pRU6",1,"1: I confirm","1: I will take it seriously","ic_cccf","ic left",42,62,"I based my ratings on the known probabilities of mating success from producing the distinct sound and the likelihood of also having Amino-Regulin in each population.","correct",41,NA,2025-07-12 10:07:54
"qMjykIgWufzm",1,"1: I confirm","1: I will take it seriously","ic_cccf","ic left",70,80,"i feel that the eastern on is able to match quicker than a western. ","correct",21,NA,2025-07-12 10:13:00
"RkGNOFyfuA3p",1,"1: I confirm","1: I will take it seriously","ic_cccf","ic left",30,62,"The Western bird has a 30% chance since it can make the sound. The Eastern bird has a 62% chance because making the sound means it also has the helpful hormones. ","correct",30,"No",2025-07-12 10:13:02
"d2h8y0Q48Cf1",1,"1: I confirm","1: I will take it seriously","ic_cccf","ic left",42,62,"I based my ratings on the known probabilities of mating success from sound production and the likelihood of having Amino-Regulin in each population, accounting for their different causal structures.","correct",38,NA,2025-07-12 10:13:31
"xrK03ZMpHsBl",1,"1: I confirm","1: I will take it seriously","ic_cccf","ic left",20,90,"I selected the ratings based on what I think I learned from the previous two screens that explained what the numbers meant","correct",52,NA,2025-07-12 10:47:13
"jvneKHNbQE8o",1,"1: I confirm","1: I will take it seriously","ic_cccf","ic left",42,61,"My reasoning behind the computed probability of the success of mating between the two male birds lies in the weighted-average of the probability that either bird has (or does not have) the Amino-Regulin hormone added together with the fact that the two birds have the capability to produce a unique sound, all within the distinct causal structures (independent vs. dependent) and the numerical probability that is given per species (population of the birds).
","correct",24,"The study was clear and great.",2025-07-12 10:48:01
"tRbCJuM3OpAy",1,"1: I confirm","1: I will take it seriously","ic_cccf","ic left",30,30,"Both birds we know can produce sound which contributes a 30% chance of finding a mate. We don't know if they have the hormone or not so both have a 30% chance","correct",28,NA,2025-07-12 10:49:14
"G3c3WeKUbUlC",1,"1: I confirm","1: I will take it seriously","ic_cccf","ic left",60,90,"For the Western male bird, I estimated a 60% chance because there is a 30% chance without Amino-Regulin and a 90% chance with it, so averaging the two possibilities gives that probability, while the Eastern male has a 90% chance due to both the distinct sound and Amino-Regulin being present.","correct",37,NA,2025-07-12 10:50:31
"hEOK8gJLxYSW",1,"1: I confirm","1: I will take it seriously","ic_cccf","ic left",42,61,"I estimated each bird’s mating probability by combining the direct effect of sound production with the likelihood of also having Amino-Regulin, based on their population’s causal structure and base rates.","correct",24,NA,2025-07-12 10:51:37
"i9AZjYpXeWX2",1,"1: I confirm","1: I will take it seriously","ic_cccf","ic left",70,90,"The bird from the eastern region was more likely to find a mate","correct",33,NA,2025-07-12 11:01:18
"OTZ9P2SR0cRd",1,"1: I confirm","1: I will take it seriously","ic_cccf","ic left",30,90,"The western bird will have a 30% chance because it can produce the sound even if it doesn't have the hormone.  For the eastern bird yhis is 90%","correct",65,NA,2025-07-12 11:02:10
"2lp2IUUUB6Br",1,"1: I confirm","1: I will take it seriously","ic_cccf","ic left",30,30,"The first one seemed to just be asking for the 0.3 figure so I gave that. There was no dependency on the bio thing. The second one I'm not sure as I thought perhaps the 0.3 figure would be affected by the need for both items, the dependency. But I couldn't think how. I feel like I should know this though.","correct",60,NA,2025-07-12 11:15:46
"poxLLiIhiHcC",1,"1: I confirm","1: I will take it seriously","ic_cccf","ic left",50,60,"Would there be a higher percentage for the right graph as there are two 0.9 streams entering the distinctive sound box? I think I understand it correctly!","correct",26,"N/A - However, I did find the main task quite challenging.",2025-07-12 11:17:11
"87UYoYO8XmWo",1,"1: I confirm","1: I will take it seriously","ic_cccf","ic left",70,70,"It appeared that, all factors being equal, one bird did not have a distinct advantage over the other, so I have them them same probability. ","correct",50,NA,2025-07-12 11:19:26
"C2uBLv8uXEjt",1,"1: I confirm","1: I will take it seriously","ic_cccf","ic left",30,90,"There is a 30% chance that the bird from western side and with the sound will get a mate. There's a 90% chance that a bad from the Eastern side will get a mate if it has the hormone.","correct",31,NA,2025-07-12 11:20:19
"udI0koC0UBN3",1,"1: I confirm","1: I will take it seriously","ic_cccf","ic left",42,42,"both birds have a 42% matching chance (0.2 x 0.9) = (0.8 x 0.3) given their sound ability and unknown","correct",26,NA,2025-07-12 11:23:38
"NUeNhBSys2J0",1,"1: I confirm","1: I will take it seriously","ic_cccf","ic left",42,62,"I gave the Western bird a 42% chance because while it can produce the sound, there's only a 20% chance it also has the hormone, and the two traits are unrelated in that population. For the Eastern bird, the ability to produce the sound makes it more likely he has the hormone too, so I estimated a higher probability of 62%.","correct",46,NA,2025-07-12 11:23:42
"kDKaLOBnh43D",1,"1: I confirm","1: I will take it seriously","ic_cccf","ic left",30,30,"Because the two birds have not been determined to currently have the hormone factor, each only has the 30% mating possibility. This can change once the birds have been tested.","correct",43,NA,2025-07-12 11:36:49
"NjnPbA70WLus",1,"1: I confirm","1: I will take it seriously","ic_cccf","ic left",30,30,"The diagrams showed that being able to make a distinct sound had a 30% chance of attracting a mate. While there is a 90% chance that the Eastern bird's ability is based on having the amino-regulin, this isn't certain, so it's safer to also assume it only has a 30% chance based on its sound ability..","correct",28,NA,2025-07-12 11:56:46
"AVpCjyfPNOv7",1,"1: I confirm","1: I will take it seriously","ic_cccf","ic left",30,30,"Going from note-producing ability to finding a mate, both had a 0.3 (30%) chance as indicated by the arrow.","correct",37,NA,2025-07-12 12:26:37
"hKmFKRCyKEiw",1,"1: I confirm","1: I will take it seriously","ic_cccf","ic left",90,90,"Since both populations share the same characteristics they share the same odds of finding a mate.","correct",46,NA,2025-07-12 12:26:43
"7Wv2wLs9Z8K2",1,"1: I confirm","1: I will take it seriously","ic_cccf","ic left",30,90,"the reason i chose that is because the western bird ability is independent meaning that he may not have the amino stuff. but the eastern birds own is dependent and has a higher chance of having both","correct",45,NA,2025-07-12 12:26:45
"NWP3aC9hVZsm",1,"1: I confirm","1: I will take it seriously","ic_cccf","ic left",30,81,"I selected 30% for the Western bird, as the bird can make the sound but the hormone level is unknown. This might slightly lower than it should be as it is possible that the bird also carries the hormone, but it is difficult to make a calculation without a more certain probability. 

I selected 81% for the Eastern bird, as if it can make the sound, it is 90% likely to carry the hormone, and the hormone has 90% chance of attracting a partner. 0.9*0.9 is 0.81, or 81%.","correct",47,NA,2025-07-12 12:28:49
"KfzEt8YNEqGc",1,"1: I confirm","1: I will take it seriously","ic_cccf","ic left",30,90,"It is much more likely that the Eastern bird had the amino-regulin than the Western bird based on the statistics from the graphs.","correct",53,"no problems",2025-07-12 12:30:19
"p5KBwXvChC7T",1,"1: I confirm","1: I will take it seriously","ic_cccf","ic left",30,30,"Both birds were able to produce the sound, but information about the genetic marker was unknown, meaning in both populations the chance of mating was 30%","correct",30,NA,2025-07-12 12:30:24
"vQUpdXjkpiyF",1,"1: I confirm","1: I will take it seriously","ic_cccf","ic left",48,98,"For Bird #98 (Western Population), I selected approximately 48%.  This bird can make a distinctive call, which provides it a 30% chance of finding a partner.  There's also a 20% chance it contains Amino-Regulin, which would enhance the likelihood to 90% if present.  When these factors are combined, the overall result is approximately 48%.

For Bird #201 (Eastern Population), I selected approximately 98%.  The ability to make the sound indicates that this group contains Amino-Regulin (90% possibility).  The hormone increases mating success both directly and indirectly, so the overall chance is quite high — almost definite, according to my estimate of 98%.","correct",55,NA,2025-07-12 12:30:38
"nyEzxyl5Thzu",1,"1: I confirm","1: I will take it seriously","ic_cccf","ic left",38,66,"I feel like I went with the most logical reason considering the percentages given. I was able to narrow it down to the amino regulin ratios in order to guess an average.","correct",28,"n/a",2025-07-12 12:31:54
"wMB7n7yDV6dz",1,"1: I confirm","1: I will take it seriously","ic_cccf","ic left",40,80,"The eastern population had a higher chance than the western population to be from that particular blood connection. Although both the western and eastern could produce the sound the eastern had a higher chance to in turn had a high probabilty than western to find a mate.","correct",27,NA,2025-07-14 11:00:14
"jOJ6AQ8qsYOS",1,"1: I confirm","1: I will take it seriously","ic_cccf","ic left",51,89,"As I recall if the eastern bird has the ability to make the call it has the amino regulion so the chances to find a partner are higher.","correct",42,NA,2025-07-14 11:00:22
"07QrzWPOAb32",1,"1: I confirm","1: I will take it seriously","ic_cccf","ic left",31,80,"i tried to take into consideration the number/percabtages that were linked to each reasoning a female bird would be attracted","correct",20,NA,2025-07-14 11:00:27
"vAJdzvNyET5k",1,"1: I confirm","1: I will take it seriously","ic_cccf","ic left",30,30,"Both birds already have the ability to produce the attractive sound for mating which guarantees a 30% chance of success.","correct",28,NA,2025-07-14 11:00:28
"MtDKrkjJLt0c",1,"1: I confirm","1: I will take it seriously","ic_cccf","ic left",30,30,"I looked at the numbers on the solid lines on the images I had seen previously and determined that those numbers equated to the % of how likely the bird would be to find a mating partner","correct",21,NA,2025-07-14 11:04:20
"lAGQtt8l3vPn",1,"1: I confirm","1: I will take it seriously","ic_cccf","ic left",67,64,"since they both produce distinct sound, they have the ability to attract female partner","correct",32,"nil",2025-07-14 11:14:55
"4Z5cxSPjpl2T",1,"1: I confirm","1: I will take it seriously","ic_cccf","ic left",58,81,"Because the western bird has one arrow and eastern has two.","correct",28,"NONE",2025-07-14 11:21:29
"sHRJSXMkL96b",1,"1: I confirm","1: I will take it seriously","ic_cccf","ic left",30,40,"I recall that the Western birds had a 0.3 sound score, indicating a 30% likelihood of finding a mating partner solely through the sound. However, I remember the Eastern birds possibly having a slight advantage if they have the amino acid in their blood (more likely for Eastern birds). Therefore, that bumped up my percentage for that one.","correct",26,NA,2025-07-14 11:24:18
"f8VQaPxTdSEw",2,"1: I confirm","1: I will take it seriously","ic_cccf","cccf left",30,30,"The chance of finding a mating partner in both cases cannot take into account the hormone because the value of the hormone is unknown. Therefore, only the distinct sound is a determining factor in both cases and this leads to a 30% chance for both cases.","correct",34,NA,2025-07-12 08:22:42
"wKqMLs1v5OiV",2,"1: I confirm","1: I will take it seriously","ic_cccf","cccf left",60,70,"There is very little difference between the to options however, I chose the rating that includes the ability to produce a distinct high pitched sound as this has an avantage.","correct",63,"None",2025-07-12 08:23:07
"0ch5kCayC9Pz",2,"1: I confirm","1: I will take it seriously","ic_cccf","cccf left",30,30,"because thats the probabilitly of them finding a mate based on that alone","correct",46,NA,2025-07-12 08:25:29
"Mefp81c7c88Y",2,"1: I confirm","1: I will take it seriously","ic_cccf","cccf left",34,78,"I gave Western Bird 78% chance because he can produce the sound, and there's high likelihood he also has hormone, while eastern bird has a 34% chance because he can also produce sound but smaller, independent chance that he will has hormone.","correct",24,NA,2025-07-12 08:28:34
"1bsSHS1knckY",2,"1: I confirm","1: I will take it seriously","ic_cccf","cccf left",30,30,"According to the card from the scientist, both the Eastern and Western bird both show that they have the ability to use sound to attract their mate, but at the same time, the hormone to attract their mate has not been determined. Therefore, there is only a 30% chance (0.3) that they can definitely only attract their female mate through their call/voice. Please note that the other factors were not included in the equation, because the other factors were not mentioned on the card.","correct",53,NA,2025-07-12 08:31:31
"lZN947uVRhk7",2,"1: I confirm","1: I will take it seriously","ic_cccf","cccf left",30,30,"The bird with the ability to produce the distinct sound has a 30% chance of finding a mating partner.","correct",44,NA,2025-07-12 08:44:31
"8qHsIrZ9USBD",2,"1: I confirm","1: I will take it seriously","ic_cccf","cccf left",40,60,"Bird #98 is from the Western population, where producing the distinct sound is strongly linked to having the hormone Amino-Regulin. Since he can make the sound, it’s likely he also has the hormone, increasing his overall chance of finding a mate.
Bird #201 is from the Eastern population, where sound and hormone are independent, so his ability to make the sound doesn’t change the low  chance he has the hormone. 
As a result, Bird #98 has a higher probability of finding a mate than Bird #201.","correct",33,NA,2025-07-12 08:45:11
"UhLBnQllqagQ",2,"1: I confirm","1: I will take it seriously","ic_cccf","cccf left",30,90,"The first bird probably has the gene because it has the sound, and if it has the gene it has a 90% chance. The second bird might have the gene but it is not linked to the sound. Since the gene it unlikely, based solely on the sound, there is 30% chance.","correct",24,NA,2025-07-12 08:46:34
"LxzcjntLkxim",2,"1: I confirm","1: I will take it seriously","ic_cccf","cccf left",20,90,"As the western population have a higher likelihood of mating due to other factors whereas the eastern birds are not as likely due to the genetics ","correct",20,NA,2025-07-12 09:13:44
"RmKGeeei2HrL",2,"1: I confirm","1: I will take it seriously","ic_cccf","cccf left",30,30,"We do not know if either bird has the AR blood but we do know there is a 30% chance that they both have the sound that will find a partner ","correct",60,NA,2025-07-12 09:18:49
"C4gGsjBqPm51",2,"1: I confirm","1: I will take it seriously","ic_cccf","cccf left",50,50,"as one of the things was unknown i came to the conclusion that they would both have a 50 percent chance of finding a mate","correct",33,NA,2025-07-12 09:23:42
"Xyek468IuKO8",2,"1: I confirm","1: I will take it seriously","ic_cccf","cccf left",62,36,"Multiplied all the %s together. Did it again. It is more likely that Bird B will find a mate - if singing isn't the reason it gets a mate, there is still a chance for Eastern one must assume 50% chance of the other major factor being present.","correct",65,NA,2025-07-12 10:02:57
"adi30IKxMMvf",2,"1: I confirm","1: I will take it seriously","ic_cccf","cccf left",50,80,"Due to the arrow linking from the presence of amino regulation on the western population given 0.9 given to the ability to produce 90% distinct sound therefore the male is well producing.
the value of 0.2 in the Eastern population pointing to the ability to produce distinct sound indicates only 20% of all males are well producing. ","correct",25,"NIL",2025-07-12 10:04:01
"YXokPaMKylGw",2,"1: I confirm","1: I will take it seriously","ic_cccf","cccf left",90,80,"For the Western male bird (#98), the ability to produce the distinct sound depends on the presence of the hormone Amino Regulin. Since this bird can produce the sound, it is very likely that it also has the hormone. Both traits independently lead to finding a mating partner, so the probability is high, around 90 to 100 percent.

For the Eastern male bird (#201), the sound production and the presence of Amino Regulin are independent. This bird already produces the sound, and in the Eastern population, having just one of the traits is enough to attract a mate. Therefore, the probability of finding a seasonal mating partner is 100 percent.","correct",35,NA,2025-07-12 10:04:10
"M7FkyA8PUSDB",2,"1: I confirm","1: I will take it seriously","ic_cccf","cccf left",30,30,"The western male birds have a dependent characteristic of having a distinct sound which attracts mates which has 30% chance of mate attraction. While the eastern male bird has an independent characteristic of having a distinct sound to attract mates with a chance/probability of 30%.","correct",28,NA,2025-07-12 10:05:18
"qOeKuTphQHWM",2,"1: I confirm","1: I will take it seriously","ic_cccf","cccf left",17,29,"The left male bird from the western population will not likely find a mating partner as it is not well considered by the scientists while the eastern also will not also likely to find a mating partner as they will oftenly distribute evenly the amino-regulin.","correct",39,"no",2025-07-12 10:06:39
"RiBEvSlCjpzw",2,"1: I confirm","1: I will take it seriously","ic_cccf","cccf left",99,55,"The Eastern bird is independent and the Western bird is dependent to posses the two qualities to enable it to mate. ","correct",23,NA,2025-07-12 10:07:17
"Qi5Pu2YJardw",2,"1: I confirm","1: I will take it seriously","ic_cccf","cccf left",30,30,"In both scenarios, the birds have a 30% chance of finding a mating partner considering that they can produce the distinct sound.","correct",24,NA,2025-07-12 10:08:57
"qawa3ux87oEp",2,"1: I confirm","1: I will take it seriously","ic_cccf","cccf left",34,55,"The Western bird has the sound ability, which is directly proportional to having the amino blood, which gives it a higher chance of finding a mating partner than the Eastern bird.","correct",36,"N/A",2025-07-12 10:11:17
"Zyn3J15uNhCL",2,"1: I confirm","1: I will take it seriously","ic_cccf","cccf left",47,75,"i chose a higher rating for the western bird population because they produce a distinct sound meaning they have the present of amino-regulin in their hormone hence find a seasonal mating partner is high unlike the eastern bird population   ","correct",54,NA,2025-07-12 10:20:09
"QRy3ujaln9ZE",2,"1: I confirm","1: I will take it seriously","ic_cccf","cccf left",40,45,"I wrote that the first male bird from the western population will have a higher chance of finding birding a mating partner because the probability of these population having the hormone and producing the sound at same time is higher compared to the eastern population","correct",55,"None",2025-07-12 10:47:51
"uBEIoMdUqw3v",2,"1: I confirm","1: I will take it seriously","ic_cccf","cccf left",48,48,"I RATED BOTH BIRDS 48% BACAUSE EACH HAS THE ABILITY TO PRODUCE DISTINCT SOUND, WHICH ALONE GIVES A 30% CHANCE OF ATTRACTING A MATE. ALTHOUGH THEIR AMINO-REGULIN STATUS IS UNKNOWN, THERE'S A 20% CHANCE THEY HAVE THE HORMONE, WHICH WOULD ADD A 90% CHANCE OF SUCCESS. S0 0.2 X 0.9=0.18. ADDING THIS TO THE 0.3 GIVES A TOTAL ESTIMATED PROBABILITY OF 0.48 OR 48% FOR BOTH BIRDS. THE SOUND AND HORMONE ARE INDEPENDENT IN THE EASTERN POPULATION AND DEPENDENT IN THE WESTERN ONE, BUT SINCE THE BIRDS ALREADY HAVE SOUND ABILITY, THE HORMONE ADDS THE SAME EXPECTED CONTRIBUTION IN BOTH CASES.","correct",41,"NONE, WAS A GREAT STUDY",2025-07-12 10:48:56
"KSH5RYKsjCSb",2,"1: I confirm","1: I will take it seriously","ic_cccf","cccf left",46,57,"I am a bit rusty with my probability skills. All I did was add up each of probabilities except for the first various factors that led to the hormone. So for the western population I added up the 4 values and divided by  4.","correct",23,NA,2025-07-12 10:49:15
"aSxLdlm9mppo",2,"1: I confirm","1: I will take it seriously","ic_cccf","cccf left",42,42,"Each bird has a 30% chance from sound alone, plus a 20% chance of also having the hormone (which raises it to 90%). Combining those: 0.2 × 90% + 0.8 × 30% = 42%.","correct",35,NA,2025-07-12 10:50:34
"Hho1RejurPmO",2,"1: I confirm","1: I will take it seriously","ic_cccf","cccf left",20,90,"I used the ratings from the first study done that took blood samples","correct",60,"Excellent study. No issues at all.",2025-07-12 10:51:26
"xA6naTXH8EDU",2,"1: I confirm","1: I will take it seriously","ic_cccf","cccf left",50,80,"Both birds could produce sound but had an undetermined factor of whether they had the hormone. The western birds' sound is dependent on the hormone which I concluded it probably had the hormone because of the presence of this ability. Therefore it had a higher chance of mating overall. The Eastern bird can produce sound independently from the hormone so it is difficult to determine whether it has the hormone before testing for it. This therefore affected my rating of the chance of it mating overall and it was ultimately lower than that of the Western bird.","correct",19,NA,2025-07-12 10:52:17
"EuiJRN8nBsDZ",2,"1: I confirm","1: I will take it seriously","ic_cccf","cccf left",30,30,"I used the arrow/line going from the mating call to finding a partner which was 0.3. I think that to get a mate in the bird world you have to do a mating call which is 30%","correct",35,NA,2025-07-12 10:56:33
"eYIFGjfUPn0U",2,"1: I confirm","1: I will take it seriously","ic_cccf","cccf left",90,90,"For the Western bird, I gave a 90% chance of finding a mate because he can produce the distinct sound—and in the Western population, that ability only happens if the bird has the Amino-Regulin hormone. So if he can make the sound, he most likely has the hormone too. Since either one of those traits is enough to attract a female, and he probably has both, I felt pretty confident with the 90% estimate.

For the Eastern bird, I also went with 90% because even though we don’t know if he has the hormone, we do know he can make the distinct sound. In the Eastern population, sound and hormone are unrelated, so just having the sound is already a strong signal to females. Since that alone gives him a high chance of finding a mate, 90% seemed like a solid estimate for him too.","correct",36,NA,2025-07-12 10:59:41
"WG9fkJPvsL0T",2,"1: I confirm","1: I will take it seriously","ic_cccf","cccf left",49,90,"For the Western Population Male, I rated the probability at 90% because his ability to produce sound gives him a 30% chance, and the presence of Amino Regulin is likely to increase this probability, as they are linked in this population. while i rated the Eastern Population male ecause his sound production gives him a 30% chance, but since sound production and Amino-Regulin are independent, the chances depend on whether he has the hormone, which we don’t know.","correct",23,NA,2025-07-12 11:06:03
"SZGyyHvTezTV",2,"1: I confirm","1: I will take it seriously","ic_cccf","cccf left",43,64,"I found the weighted average given the info from the diagrams. So like for example (20% × 93%) + (80% × 30%) = (0.20 × 0.93) + (0.80 × 0.30) = 0.186 + 0.24 = 0.43 so 43%.","correct",21,NA,2025-07-12 11:11:23
"grRfDIEMwKAq",2,"1: I confirm","1: I will take it seriously","ic_cccf","cccf left",30,30,"Due to only knowing that the factor about the birds is that they can produce a song it signals only a 30% chance based on the data.","correct",32,NA,2025-07-12 11:15:49
"qRMaIcVBaawx",2,"1: I confirm","1: I will take it seriously","ic_cccf","cccf left",64,85,"The Western bird has a high probability due to its various ratings","correct",41,NA,2025-07-12 11:16:05
"9RhoedOxIQAp",2,"1: I confirm","1: I will take it seriously","ic_cccf","cccf left",86,90,"they both can produce the sound","correct",54,NA,2025-07-12 11:17:06
"0kkeqp3ZBdjw",2,"1: I confirm","1: I will take it seriously","ic_cccf","cccf left",76,100,"i think bird on left had better chance by looking at the chart and bird 2/right side had a good chance too just not as high as bird1/left side","correct",38,NA,2025-07-12 11:19:28
"jmd7qOogVeLk",2,"1: I confirm","1: I will take it seriously","ic_cccf","cccf left",51,62,"It depends whether or not the birds are from the Eastern or Western population, however since both male birds could make the distinct sound this increased their liklihood of mating however my rating could not be any higher as we do not know their species. ","correct",38,NA,2025-07-12 11:22:27
"VcBNCkJGvJ1J",2,"1: I confirm","1: I will take it seriously","ic_cccf","cccf left",20,20,"The information given on the previous page stated that both birds would have a 20% chance of finding a mate so that is why I chose this amount.","correct",67,NA,2025-07-12 11:25:44
"mp4lUffzXHsh",2,"1: I confirm","1: I will take it seriously","ic_cccf","cccf left",30,30,"Both males are able to produce the distinct sounds, which results in them having a 30% chance of finding a seasonal mate irrespective of which population they are from.","correct",40,NA,2025-07-12 11:40:02
"tu34bFiYCfSA",2,"1: I confirm","1: I will take it seriously","ic_cccf","cccf left",50,90,"The eastern bird I took the unspecified factors with the ability to make a distinct sound so I gave him a 50% chance of getting a mate, But all information shows that the western bird has almost everything in his vafor and I was thinking of giving him a 100% chance but because I am unsure about the Amino-Regulin in his blood I gave him a 90% chance based on the information that we have.","correct",45,NA,2025-07-12 11:51:01
"OmxrdVLnqLrj",2,"1: I confirm","1: I will take it seriously","ic_cccf","cccf left",30,90,"the western bird species, producing of the distinct sound is genetically linked to the presence of the hormone. this makes the bird have a higher probability (90%) of having a mate
In the eastern bird, there is no relation between having distinct voice and the hormone. working with only the ability of the bird to produce the distinct voice, it has a 30% chance of finding a seasonal mate","correct",26,"None",2025-07-12 12:26:39
"YRGBkNvJKsAv",2,"1: I confirm","1: I will take it seriously","ic_cccf","cccf left",70,74,"From what I gathered I added the numbers up, by looking at both the unknown and original pictures and converted them to percentages by what they had","correct",22,NA,2025-07-12 12:26:40
"jNAhY4f5P8KS",2,"1: I confirm","1: I will take it seriously","ic_cccf","cccf left",30,30,"The probability based on the gene is unknown, and so the only known probability is based on the sound alone. In both populations, the sound alone is a 0.3 (30%) change of finding a partner. Therefore, with the information in hand, both birds have at least an estimated 30% change of finding a mating partner.","correct",33,NA,2025-07-12 12:26:46
