"condition","subj_code","desktop_conf","attent_conf","structure","parameter","side_order","ba_check","ba_check_correct","instr_tests","bc_check","bc_check_correct","case_09","case_02","age","gender","tech_issues","PROLIFIC_PID","recorded_at"
1,"dBveMK0TMZEC","1: I confirm","1: I will take it seriously","cccf","bc","02_09","the probability that these other factors will lead to the presence of Amino-Regulin in a male bird's blood is the same in the two populations.","correct",2,"the probability that these other factors will lead to a male being able to produce the distinct sound is higher in the Eastern than in the Western population.","correct",72,43,29,"1: male",NA,"675ef67a1ac1854b97ad3898",2026-03-03 08:39:29
1,"kIFLh1Y7lyuO","1: I confirm","1: I will take it seriously","cccf","bc","02_09","the probability that these other factors will lead to the presence of Amino-Regulin in a male bird's blood is the same in the two populations.","correct",2,"the probability that these other factors will lead to a male being able to produce the distinct sound is higher in the Eastern than in the Western population.","correct",30,30,28,"1: male",NA,"5f13958f0576a62394421a92",2026-03-03 08:48:09
1,"HYxa7EKcRy6o","1: I confirm","1: I will take it seriously","cccf","bc","02_09","the probability that these other factors will lead to the presence of Amino-Regulin in a male bird's blood is the same in the two populations.","correct",2,"the probability that these other factors will lead to a male being able to produce the distinct sound is higher in the Eastern than in the Western population.","correct",100,100,50,"1: male",NA,"65abea576ca74c598aef13c3",2026-03-03 08:50:29
1,"z7WAyPP7KcxP","1: I confirm","1: I will take it seriously","cccf","bc","02_09","the probability that these other factors will lead to the presence of Amino-Regulin in a male bird's blood is the same in the two populations.","correct",2,"the probability that these other factors will lead to a male being able to produce the distinct sound is higher in the Eastern than in the Western population.","correct",43,30,19,"1: male",NA,"6926b412d56593aa00555531",2026-03-03 09:36:35
2,"AE5z3UI96Xdz","1: I confirm","1: I will take it seriously","cccf","bc","09_02","the probability that these other factors will lead to the presence of Amino-Regulin in a male bird's blood is the same in the two populations.","correct",2,"the probability that these other factors will lead to a male being able to produce the distinct sound is higher in the Western than in the Eastern population.","correct",27,5,37,"2: female",NA,"69979fef59b226f225d82b9a",2026-03-02 12:30:42
2,"0diaq7QiA6zy","1: I confirm","1: I will take it seriously","cccf","bc","09_02","the probability that these other factors will lead to the presence of Amino-Regulin in a male bird's blood is the same in the two populations.","correct",2,"the probability that these other factors will lead to a male being able to produce the distinct sound is higher in the Western than in the Eastern population.","correct",30,30,80,"1: male",NA,"67c48c29073e1078535e0f45",2026-03-02 12:47:33
2,"n2yHtTqdjZwJ","1: I confirm","1: I will take it seriously","cccf","bc","09_02","the probability that these other factors will lead to the presence of Amino-Regulin in a male bird's blood is the same in the two populations.","correct",2,"the probability that these other factors will lead to a male being able to produce the distinct sound is higher in the Western than in the Eastern population.","correct",89,20,74,"2: female",NA,"5a9bff3b6475f900019ffc51",2026-03-02 12:48:51
2,"bDUp7brzBiqu","1: I confirm","1: I will take it seriously","cccf","bc","09_02","the probability that these other factors will lead to the presence of Amino-Regulin in a male bird's blood is the same in the two populations.","correct",2,"the probability that these other factors will lead to a male being able to produce the distinct sound is higher in the Western than in the Eastern population.","correct",90,90,41,"1: male","no errors","6290baefc1820d33bb4afed4",2026-03-02 12:53:44
2,"7ZSM0u01UsTJ","1: I confirm","1: I will take it seriously","cccf","bc","09_02","the probability that these other factors will lead to the presence of Amino-Regulin in a male bird's blood is the same in the two populations.","correct",2,"the probability that these other factors will lead to a male being able to produce the distinct sound is higher in the Western than in the Eastern population.","correct",30,30,46,"2: female",NA,"5ecf4f5ee6272136e6696412",2026-03-02 13:36:44
2,"EKhIx7egsFtk","1: I confirm","1: I will take it seriously","cccf","bc","09_02","the probability that these other factors will lead to the presence of Amino-Regulin in a male bird's blood is the same in the two populations.","correct",4,"the probability that these other factors will lead to a male being able to produce the distinct sound is higher in the Western than in the Eastern population.","correct",96,93,40,"2: female",NA,"5f4738bfa043201203a27b4b",2026-03-02 13:36:45
2,"gjSWCrGQsk7b","1: I confirm","1: I will take it seriously","cccf","bc","09_02","the probability that these other factors will lead to the presence of Amino-Regulin in a male bird's blood is the same in the two populations.","correct",2,"the probability that these other factors will lead to a male being able to produce the distinct sound is higher in the Western than in the Eastern population.","correct",30,30,30,"2: female",NA,"59f0be850fb3a90001bd9fc8",2026-03-02 13:42:03
2,"1WoZWqEf8dpt","1: I confirm","1: I will take it seriously","cccf","bc","09_02","the probability that these other factors will lead to the presence of Amino-Regulin in a male bird's blood is the same in the two populations.","correct",2,"the probability that these other factors will lead to a male being able to produce the distinct sound is higher in the Western than in the Eastern population.","correct",90,50,29,"1: male",NA,"659ea4fba71cbc0f9e9252dd",2026-03-02 13:48:07
2,"Hz4sBCzPjp6P","1: I confirm","1: I will take it seriously","cccf","bc","09_02","the probability that these other factors will lead to the presence of Amino-Regulin in a male bird's blood is the same in the two populations.","correct",2,"the probability that these other factors will lead to a male being able to produce the distinct sound is higher in the Western than in the Eastern population.","correct",50,50,31,"2: female",NA,"5e99e2f2aed07804ac426fa1",2026-03-02 13:53:48
2,"UvCpDHGaIZOo","1: I confirm","1: I will take it seriously","cccf","bc","09_02","the probability that these other factors will lead to the presence of Amino-Regulin in a male bird's blood is the same in the two populations.","correct",2,"the probability that these other factors will lead to a male being able to produce the distinct sound is higher in the Western than in the Eastern population.","correct",30,30,28,"2: female",NA,"695fb400c874a4d7ea24f340",2026-03-02 19:00:57
2,"HGzKPiE6Goab","1: I confirm","1: I will take it seriously","cccf","bc","09_02","the probability that these other factors will lead to the presence of Amino-Regulin in a male bird's blood is the same in the two populations.","correct",6,"the probability that these other factors will lead to a male being able to produce the distinct sound is higher in the Western than in the Eastern population.","correct",90,90,26,"1: male",NA,"6980f1ea2de14ef29449f0df",2026-03-02 19:01:22
2,"OsLt40OKr7Qb","1: I confirm","1: I will take it seriously","cccf","bc","09_02","the probability that these other factors will lead to the presence of Amino-Regulin in a male bird's blood is the same in the two populations.","correct",2,"the probability that these other factors will lead to a male being able to produce the distinct sound is higher in the Western than in the Eastern population.","correct",74,32,29,"1: male",NA,"62714f1a980371802eccdfd3",2026-03-02 19:23:29
2,"OtfQYJfelCSC","1: I confirm","1: I will take it seriously","cccf","bc","09_02","the probability that these other factors will lead to the presence of Amino-Regulin in a male bird's blood is the same in the two populations.","correct",2,"the probability that these other factors will lead to a male being able to produce the distinct sound is higher in the Western than in the Eastern population.","correct",30,30,32,"2: female",NA,"66ca2d90ab22cf378a032c83",2026-03-03 08:13:30
2,"QRTVdwYlS6JE","1: I confirm","1: I will take it seriously","cccf","bc","09_02","the probability that these other factors will lead to the presence of Amino-Regulin in a male bird's blood is the same in the two populations.","correct",2,"the probability that these other factors will lead to a male being able to produce the distinct sound is higher in the Western than in the Eastern population.","correct",65,64,76,"2: female",NA,"5e99b08a24927e000a418025",2026-03-03 08:13:36
2,"UQ4iZFBmnIpg","1: I confirm","1: I will take it seriously","cccf","bc","09_02","the probability that these other factors will lead to the presence of Amino-Regulin in a male bird's blood is the same in the two populations.","correct",6,"the probability that these other factors will lead to a male being able to produce the distinct sound is higher in the Western than in the Eastern population.","correct",30,30,44,"1: male","Was a bit hard to grasp the concept to start with, I liked the training Q's to help with this. Thanks. ","697d8e62dffef3116bf5c4ad",2026-03-03 08:13:55
2,"dyoLSF5BRUWh","1: I confirm","1: I will take it seriously","cccf","bc","09_02","the probability that these other factors will lead to the presence of Amino-Regulin in a male bird's blood is the same in the two populations.","correct",2,"the probability that these other factors will lead to a male being able to produce the distinct sound is higher in the Western than in the Eastern population.","correct",90,20,22,"1: male",NA,"66ec53e096df305784c5aa6f",2026-03-03 08:15:13
3,"Y2owMKLQ89UB","1: I confirm","1: I will take it seriously","cccf","ba","02_09","the probability that these other factors will lead to the presence of Amino-Regulin in a male bird's blood is higher in the Eastern than in the Western population.","correct",2,"the probability that these other factors will lead to a male being able to produce the distinct sound is the same in the two populations.","correct",90,50,58,"2: female","continue","67125dbf051de48bdd548035",2026-03-02 12:46:00
3,"PiwbDhdiubKF","1: I confirm","1: I will take it seriously","cccf","ba","02_09","the probability that these other factors will lead to the presence of Amino-Regulin in a male bird's blood is higher in the Eastern than in the Western population.","correct",4,"the probability that these other factors will lead to a male being able to produce the distinct sound is the same in the two populations.","correct",30,30,30,"1: male",NA,"6981c3e6817ef51f56b65606",2026-03-02 12:48:02
3,"yACTpo2KRjIa","1: I confirm","1: I will take it seriously","cccf","ba","02_09","the probability that these other factors will lead to the presence of Amino-Regulin in a male bird's blood is higher in the Eastern than in the Western population.","correct",2,"the probability that these other factors will lead to a male being able to produce the distinct sound is the same in the two populations.","correct",30,30,61,"1: male",NA,"5bad23638e44c6000123bcd4",2026-03-02 12:56:21
3,"fTthMkit1ne8","1: I confirm","1: I will take it seriously","cccf","ba","02_09","the probability that these other factors will lead to the presence of Amino-Regulin in a male bird's blood is higher in the Eastern than in the Western population.","correct",2,"the probability that these other factors will lead to a male being able to produce the distinct sound is the same in the two populations.","correct",30,30,38,"2: female",NA,"61618cbffc5ccf427b976ec7",2026-03-02 13:02:02
3,"Vtfarv67VApS","1: I confirm","1: I will take it seriously","cccf","ba","02_09","the probability that these other factors will lead to the presence of Amino-Regulin in a male bird's blood is higher in the Eastern than in the Western population.","correct",2,"the probability that these other factors will lead to a male being able to produce the distinct sound is the same in the two populations.","correct",95,45,29,"2: female",NA,"69814f8a960e1ad1299596e1",2026-03-02 13:38:47
3,"LnaXcJGVPI7u","1: I confirm","1: I will take it seriously","cccf","ba","02_09","the probability that these other factors will lead to the presence of Amino-Regulin in a male bird's blood is higher in the Eastern than in the Western population.","correct",2,"the probability that these other factors will lead to a male being able to produce the distinct sound is the same in the two populations.","correct",90,30,47,"2: female",NA,"6997548fbdfefd28c2bc8ad7",2026-03-02 13:40:51
3,"NUOAjORDPzGf","1: I confirm","1: I will take it seriously","cccf","ba","02_09","the probability that these other factors will lead to the presence of Amino-Regulin in a male bird's blood is higher in the Eastern than in the Western population.","correct",2,"the probability that these other factors will lead to a male being able to produce the distinct sound is the same in the two populations.","correct",90,10,38,"1: male",NA,"665c492a372cfba059fbeb56",2026-03-02 13:43:04
3,"h1KiSkaPBuoK","1: I confirm","1: I will take it seriously","cccf","ba","02_09","the probability that these other factors will lead to the presence of Amino-Regulin in a male bird's blood is higher in the Eastern than in the Western population.","correct",2,"the probability that these other factors will lead to a male being able to produce the distinct sound is the same in the two populations.","correct",90,30,57,"2: female",NA,"5a647fc7b9e3b50001a6fe7b",2026-03-02 13:45:10
3,"x06OknciGWNb","1: I confirm","1: I will take it seriously","cccf","ba","02_09","the probability that these other factors will lead to the presence of Amino-Regulin in a male bird's blood is higher in the Eastern than in the Western population.","correct",6,"the probability that these other factors will lead to a male being able to produce the distinct sound is the same in the two populations.","correct",75,10,50,"1: male",NA,"653946cbef89fd6232a8ec50",2026-03-02 14:14:53
3,"99VyK0gXtsGn","1: I confirm","1: I will take it seriously","cccf","ba","02_09","the probability that these other factors will lead to the presence of Amino-Regulin in a male bird's blood is higher in the Eastern than in the Western population.","correct",2,"the probability that these other factors will lead to a male being able to produce the distinct sound is the same in the two populations.","correct",90,80,56,"1: male",NA,"63fbf0e3b18cc14adc0dbfb6",2026-03-02 14:22:10
3,"MNRS8Mx6bqvb","1: I confirm","1: I will take it seriously","cccf","ba","02_09","the probability that these other factors will lead to the presence of Amino-Regulin in a male bird's blood is higher in the Eastern than in the Western population.","correct",4,"the probability that these other factors will lead to a male being able to produce the distinct sound is the same in the two populations.","correct",20,20,31,"2: female",NA,"698e1bdaffae8699322bb097",2026-03-02 19:00:25
3,"xhXvPWlZIwiW","1: I confirm","1: I will take it seriously","cccf","ba","02_09","the probability that these other factors will lead to the presence of Amino-Regulin in a male bird's blood is higher in the Eastern than in the Western population.","correct",2,"the probability that these other factors will lead to a male being able to produce the distinct sound is the same in the two populations.","correct",89,50,37,"1: male","N/A","65f07afc1465de6442db2c75",2026-03-03 08:13:32
3,"R4ZPIsKLAhYi","1: I confirm","1: I will take it seriously","cccf","ba","02_09","the probability that these other factors will lead to the presence of Amino-Regulin in a male bird's blood is higher in the Eastern than in the Western population.","correct",4,"the probability that these other factors will lead to a male being able to produce the distinct sound is the same in the two populations.","correct",30,30,29,"2: female",NA,"697a67e3b1a60cf73a1f3aa9",2026-03-03 08:13:38
3,"cmOICg6M8viD","1: I confirm","1: I will take it seriously","cccf","ba","02_09","the probability that these other factors will lead to the presence of Amino-Regulin in a male bird's blood is higher in the Eastern than in the Western population.","correct",2,"the probability that these other factors will lead to a male being able to produce the distinct sound is the same in the two populations.","correct",90,50,22,"2: female",NA,"692f85979256ee859e96d6ad",2026-03-03 08:14:29
3,"BwR42u7HrSIR","1: I confirm","1: I will take it seriously","cccf","ba","02_09","the probability that these other factors will lead to the presence of Amino-Regulin in a male bird's blood is higher in the Eastern than in the Western population.","correct",2,"the probability that these other factors will lead to a male being able to produce the distinct sound is the same in the two populations.","correct",85,45,53,"1: male",NA,"660aecfcef9da76dd04ce2b1",2026-03-03 08:20:10
3,"ZtWfKvO7qJTk","1: I confirm","1: I will take it seriously","cccf","ba","02_09","the probability that these other factors will lead to the presence of Amino-Regulin in a male bird's blood is higher in the Eastern than in the Western population.","correct",6,"the probability that these other factors will lead to a male being able to produce the distinct sound is the same in the two populations.","correct",90,20,32,"1: male",NA,"699f8673dfd539af83496ff6",2026-03-03 08:38:53
4,"74A6qzPE7dQh","1: I confirm","1: I will take it seriously","cccf","ba","09_02","the probability that these other factors will lead to the presence of Amino-Regulin in a male bird's blood is higher in the Western than in the Eastern population.","correct",2,"the probability that these other factors will lead to a male being able to produce the distinct sound is the same in the two populations.","correct",90,20,31,"2: female",NA,"5ab94e8cf69e940001d8fd25",2026-03-02 12:30:27
4,"aXaZQcijKCdF","1: I confirm","1: I will take it seriously","cccf","ba","09_02","the probability that these other factors will lead to the presence of Amino-Regulin in a male bird's blood is higher in the Western than in the Eastern population.","correct",2,"the probability that these other factors will lead to a male being able to produce the distinct sound is the same in the two populations.","correct",50,50,54,"2: female",NA,"698b16336ccb11f6b69eaea2",2026-03-02 12:41:58
4,"z9kempWG3frg","1: I confirm","1: I will take it seriously","cccf","ba","09_02","the probability that these other factors will lead to the presence of Amino-Regulin in a male bird's blood is higher in the Western than in the Eastern population.","correct",4,"the probability that these other factors will lead to a male being able to produce the distinct sound is the same in the two populations.","correct",90,90,28,"1: male",NA,"6928e9fa3cd6faedf58732aa",2026-03-02 12:47:58
4,"XslWUFf8oeLg","1: I confirm","1: I will take it seriously","cccf","ba","09_02","the probability that these other factors will lead to the presence of Amino-Regulin in a male bird's blood is higher in the Western than in the Eastern population.","correct",2,"the probability that these other factors will lead to a male being able to produce the distinct sound is the same in the two populations.","correct",90,60,23,"1: male",NA,"698359e32fcf5c430435587e",2026-03-02 12:55:31
4,"WMLp3IAKuaU1","1: I confirm","1: I will take it seriously","cccf","ba","09_02","the probability that these other factors will lead to the presence of Amino-Regulin in a male bird's blood is higher in the Western than in the Eastern population.","correct",4,"the probability that these other factors will lead to a male being able to produce the distinct sound is the same in the two populations.","correct",84,42,32,"1: male",NA,"697cbad7849402bb0a689ecc",2026-03-02 13:26:41
4,"zjlo9xCotp05","1: I confirm","1: I will take it seriously","cccf","ba","09_02","the probability that these other factors will lead to the presence of Amino-Regulin in a male bird's blood is higher in the Western than in the Eastern population.","correct",2,"the probability that these other factors will lead to a male being able to produce the distinct sound is the same in the two populations.","correct",60,30,25,"2: female",NA,"60a90a8cd3bb28b16b59d10f",2026-03-02 13:41:47
4,"BwM37BClg80D","1: I confirm","1: I will take it seriously","cccf","ba","09_02","the probability that these other factors will lead to the presence of Amino-Regulin in a male bird's blood is higher in the Western than in the Eastern population.","correct",2,"the probability that these other factors will lead to a male being able to produce the distinct sound is the same in the two populations.","correct",95,40,48,"2: female",NA,"6985f5b4dcd633561bd45966",2026-03-02 13:49:00
4,"Lq3DMmROHPnX","1: I confirm","1: I will take it seriously","cccf","ba","09_02","the probability that these other factors will lead to the presence of Amino-Regulin in a male bird's blood is higher in the Western than in the Eastern population.","correct",4,"the probability that these other factors will lead to a male being able to produce the distinct sound is the same in the two populations.","correct",89,40,39,"1: male","no","6988878f7b811934dbd31f51",2026-03-02 13:49:50
4,"c54rKVF6EP3E","1: I confirm","1: I will take it seriously","cccf","ba","09_02","the probability that these other factors will lead to the presence of Amino-Regulin in a male bird's blood is higher in the Western than in the Eastern population.","correct",2,"the probability that these other factors will lead to a male being able to produce the distinct sound is the same in the two populations.","correct",91,30,40,"2: female",NA,"697b426e2923a1b700a310d9",2026-03-02 14:29:36
4,"z3Sg8PVRiP8T","1: I confirm","1: I will take it seriously","cccf","ba","09_02","the probability that these other factors will lead to the presence of Amino-Regulin in a male bird's blood is higher in the Western than in the Eastern population.","correct",2,"the probability that these other factors will lead to a male being able to produce the distinct sound is the same in the two populations.","correct",80,50,23,"2: female",NA,"6655f13e04490671e36a8dcf",2026-03-02 19:00:35
4,"hYfp1YrxuxDh","1: I confirm","1: I will take it seriously","cccf","ba","09_02","the probability that these other factors will lead to the presence of Amino-Regulin in a male bird's blood is higher in the Western than in the Eastern population.","correct",2,"the probability that these other factors will lead to a male being able to produce the distinct sound is the same in the two populations.","correct",100,100,37,"1: male",NA,"69139019e887fef6bf369ea3",2026-03-02 19:02:25
4,"OFY51DZ0X968","1: I confirm","1: I will take it seriously","cccf","ba","09_02","the probability that these other factors will lead to the presence of Amino-Regulin in a male bird's blood is higher in the Western than in the Eastern population.","correct",6,"the probability that these other factors will lead to a male being able to produce the distinct sound is the same in the two populations.","correct",92,81,42,"2: female",NA,"5775874455fb780001d7f1d5",2026-03-03 08:13:50
4,"hx0vs86k1DmW","1: I confirm","1: I will take it seriously","cccf","ba","09_02","the probability that these other factors will lead to the presence of Amino-Regulin in a male bird's blood is higher in the Western than in the Eastern population.","correct",2,"the probability that these other factors will lead to a male being able to produce the distinct sound is the same in the two populations.","correct",50,50,30,"2: female",NA,"663e9572e6820841e1f0f60b",2026-03-03 08:14:10
4,"uOeei4ABv8VL","1: I confirm","1: I will take it seriously","cccf","ba","09_02","the probability that these other factors will lead to the presence of Amino-Regulin in a male bird's blood is higher in the Western than in the Eastern population.","correct",2,"the probability that these other factors will lead to a male being able to produce the distinct sound is the same in the two populations.","correct",95,40,29,"2: female",NA,"6972d98df92cd2fdfa0fa15e",2026-03-03 08:17:10
4,"oPAXe8kczA3y","1: I confirm","1: I will take it seriously","cccf","ba","09_02","the probability that these other factors will lead to the presence of Amino-Regulin in a male bird's blood is higher in the Western than in the Eastern population.","correct",2,"the probability that these other factors will lead to a male being able to produce the distinct sound is the same in the two populations.","correct",83,50,41,"1: male",NA,"559bbbdafdf99b7ce19d5b3d",2026-03-03 08:38:46
4,"U2MOxJ6k7Mwj","1: I confirm","1: I will take it seriously","cccf","ba","09_02","the probability that these other factors will lead to the presence of Amino-Regulin in a male bird's blood is higher in the Western than in the Eastern population.","correct",4,"the probability that these other factors will lead to a male being able to produce the distinct sound is the same in the two populations.","correct",55,50,31,"1: male","NA (No technical issues).  The questions were fully engaging! The Instructions were explained clearly. Thanks too! ","676f730d7b956c6dc4eb2102",2026-03-03 08:39:08
5,"QOwvmSghhp42","1: I confirm","1: I will take it seriously","ic","bc","02_09","the probability that these other factors will lead to the presence of Amino-Regulin in a male bird's blood is the same in the two populations.","correct",2,"the probability that these other factors will lead to a male being able to produce the distinct sound is higher in the Eastern than in the Western population.","correct",30,30,57,"2: female",NA,"56b4d0bb5ac959000d28beb5",2026-03-02 12:32:03
5,"c1A55fbghb5t","1: I confirm","1: I will take it seriously","ic","bc","02_09","the probability that these other factors will lead to the presence of Amino-Regulin in a male bird's blood is the same in the two populations.","correct",2,"the probability that these other factors will lead to a male being able to produce the distinct sound is higher in the Eastern than in the Western population.","correct",30,30,55,"2: female",NA,"66b5682e53ca081f5a2d5d23",2026-03-02 12:47:19
5,"OxYXL7nhSYMU","1: I confirm","1: I will take it seriously","ic","bc","02_09","the probability that these other factors will lead to the presence of Amino-Regulin in a male bird's blood is the same in the two populations.","correct",4,"the probability that these other factors will lead to a male being able to produce the distinct sound is higher in the Eastern than in the Western population.","correct",50,50,34,"1: male","N/A","62fbd076fd16a9c70254f4c4",2026-03-02 12:54:29
5,"aQv9WAICvxS4","1: I confirm","1: I will take it seriously","ic","bc","02_09","the probability that these other factors will lead to the presence of Amino-Regulin in a male bird's blood is the same in the two populations.","correct",4,"the probability that these other factors will lead to a male being able to produce the distinct sound is higher in the Eastern than in the Western population.","correct",48,49,44,"1: male",NA,"69829bc1224b28f0538900d5",2026-03-02 13:07:05
5,"Lnu4jwIYEs8m","1: I confirm","1: I will take it seriously","ic","bc","02_09","the probability that these other factors will lead to the presence of Amino-Regulin in a male bird's blood is the same in the two populations.","correct",2,"the probability that these other factors will lead to a male being able to produce the distinct sound is higher in the Eastern than in the Western population.","correct",49,49,28,"1: male",NA,"6631566d8d9adb4eb7b3246a",2026-03-02 13:41:55
5,"nBnsAXvaZYeh","1: I confirm","1: I will take it seriously","ic","bc","02_09","the probability that these other factors will lead to the presence of Amino-Regulin in a male bird's blood is the same in the two populations.","correct",2,"the probability that these other factors will lead to a male being able to produce the distinct sound is higher in the Eastern than in the Western population.","correct",48,48,36,"1: male",NA,"66269cb86e9b15786b5015f5",2026-03-02 13:57:00
5,"fbJcrjqoGwco","1: I confirm","1: I will take it seriously","ic","bc","02_09","the probability that these other factors will lead to the presence of Amino-Regulin in a male bird's blood is the same in the two populations.","correct",4,"the probability that these other factors will lead to a male being able to produce the distinct sound is higher in the Eastern than in the Western population.","correct",30,30,49,"2: female",NA,"5e25bb2adb62ba80c1c8571a",2026-03-02 14:25:57
5,"jUhzMYVjbAvM","1: I confirm","1: I will take it seriously","ic","bc","02_09","the probability that these other factors will lead to the presence of Amino-Regulin in a male bird's blood is the same in the two populations.","correct",2,"the probability that these other factors will lead to a male being able to produce the distinct sound is higher in the Eastern than in the Western population.","correct",30,30,45,"2: female","none","67c03df83a4809152545cabd",2026-03-02 19:00:52
5,"MXxhalHpS3zQ","1: I confirm","1: I will take it seriously","ic","bc","02_09","the probability that these other factors will lead to the presence of Amino-Regulin in a male bird's blood is the same in the two populations.","correct",2,"the probability that these other factors will lead to a male being able to produce the distinct sound is higher in the Eastern than in the Western population.","correct",31,31,37,"1: male",NA,"6740b01583cadef1afebeb9d",2026-03-02 19:01:48
5,"T7H1cFVZrch9","1: I confirm","1: I will take it seriously","ic","bc","02_09","the probability that these other factors will lead to the presence of Amino-Regulin in a male bird's blood is the same in the two populations.","correct",2,"the probability that these other factors will lead to a male being able to produce the distinct sound is higher in the Eastern than in the Western population.","correct",50,50,34,"1: male","No Issue.","67e90eccc1592e147e1e88b0",2026-03-02 19:05:46
5,"OVpU0ujAvILN","1: I confirm","1: I will take it seriously","ic","bc","02_09","the probability that these other factors will lead to the presence of Amino-Regulin in a male bird's blood is the same in the two populations.","correct",2,"the probability that these other factors will lead to a male being able to produce the distinct sound is higher in the Eastern than in the Western population.","correct",30,30,26,"1: male",NA,"5c8c6dae079f570001f1191a",2026-03-03 08:13:22
